img_id,data_point
560,1691583344927
525,1691583345127
208,1691583340671
109,1691583342718
317,1691583339582
482,1691583339351
59,1691583342784
562,1691583341726
527,1691583345654
272,1691583339582
237,1691583343151
99,1691583347903
173,1691583344399
136,1691583348590
64,1691583339190
21,1691583339422
392,1691583347830
407,1691583344070
442,1691583346582
40,1691583341464
586,1691583347998
157,1691583345855
112,1691583348726
256,1691583347143
213,1691583346815
423,1691583343311
466,1691583340638
333,1691583347110
376,1691583343646
546,1691583342854
197,1691583343806
503,1691583341799
80,1691583341464
38,1691583345455
296,1691583341071
427,1691583343806
462,1691583346511
217,1691583344470
44,1691583341862
153,1691583347830
116,1691583344630
79,1691583345190
292,1691583346879
542,1691583342391
193,1691583343078
507,1691583345127
84,1691583341959
337,1691583340575
372,1691583343910
566,1691583341694
523,1691583342687
18,1691583347998
486,1691583339318
313,1691583340375
356,1691583343447
403,1691583340703
446,1691583343383
396,1691583343871
177,1691583343574
132,1691583346086
60,1691583342551
25,1691583342814
276,1691583339687
233,1691583340246
394,1691583346678
401,1691583341006
444,1691583347206
369,1691583340511
559,1691583345031
62,1691583339486
27,1691583347935
289,1691583346213
175,1691583346319
130,1691583345262
148,1691583339254
599,1691583341694
9,1691583344798
564,1691583341631
521,1691583348430
249,1691583341101
479,1691583342255
311,1691583343479
354,1691583340311
484,1691583339087
86,1691583341303
540,1691583344798
191,1691583340214
505,1691583345622
129,1691583345358
335,1691583341101
370,1691583340774
418,1691583339847
308,1691583342951
425,1691583347439
460,1691583344470
580,1691583338927
151,1691583342718
114,1691583346151
46,1691583341231
215,1691583346213
538,1691583345790
429,1691583344103
341,1691583346743
304,1691583344175
491,1691583348134
118,1691583345358
534,1691583341663
571,1691583345719
219,1691583343574
509,1691583348855
224,1691583342919
261,1691583346678
32,1691583344566
77,1691583344967
125,1691583341990
160,1691583346086
381,1691583343214
451,1691583340079
414,1691583347206
339,1691583344335
5,1691583345455
101,1691583342487
595,1691583345790
144,1691583339351
16,1691583342551
53,1691583344798
200,1691583344175
245,1691583346287
568,1691583341464
358,1691583347271
475,1691583344862
430,1691583346815
488,1691583348359
398,1691583346511
365,1691583347143
320,1691583343511
448,1691583343183
93,1691583344703
278,1691583340439
510,1691583342654
555,1691583348462
184,1691583340214
179,1691583343342
285,1691583343742
367,1691583340806
322,1691583347800
287,1691583344399
29,1691583348527
512,1691583342456
557,1691583344798
186,1691583339582
91,1691583345855
202,1691583346383
247,1691583347039
14,1691583348495
51,1691583345982
7,1691583345790
103,1691583339286
597,1691583341534
146,1691583339159
477,1691583348134
432,1691583344007
127,1691583341231
162,1691583345358
30,1691583348726
75,1691583345950
88,1691583345294
226,1691583340246
453,1691583339982
416,1691583339982
383,1691583340079
493,1691583345591
343,1691583343871
306,1691583343742
536,1691583344967
573,1691583344967
48,1691583345190
387,1691583339646
457,1691583347470
412,1691583343414
222,1691583347703
123,1691583341959
166,1691583341990
34,1691583346023
71,1691583348590
532,1691583342023
577,1691583348430
347,1691583347407
497,1691583345358
516,1691583338854
182,1691583347766
95,1691583348790
283,1691583343046
68,1691583348063
363,1691583346743
326,1691583343607
473,1691583345719
436,1691583340743
10,1691583344566
55,1691583348726
3,1691583341398
107,1691583347935
593,1691583344967
142,1691583348359
243,1691583344470
319,1691583340278
471,1691583345294
434,1691583340703
204,1691583346975
241,1691583343774
529,1691583344630
1,1691583341896
105,1691583339422
591,1691583346023
140,1691583348134
12,1691583348663
57,1691583342358
138,1691583342654
281,1691583347503
97,1691583342687
239,1691583347503
514,1691583348295
551,1691583342854
180,1691583342886
361,1691583343871
324,1691583342951
409,1691583346319
530,1691583341799
575,1691583342287
258,1691583344335
159,1691583344703
495,1691583345127
468,1691583341335
345,1691583343183
300,1691583346447
455,1691583343151
410,1691583343838
378,1691583343479
385,1691583339847
298,1691583347143
36,1691583345855
73,1691583344798
121,1691583341335
164,1691583341231
199,1691583346319
548,1691583338927
220,1691583347503
265,1691583343078
433,1691583341167
476,1691583345591
246,1691583346815
203,1691583344007
50,1691583345031
15,1691583347935
6,1691583345190
596,1691583345494
147,1691583339351
102,1691583339422
286,1691583346678
28,1691583342590
556,1691583348663
187,1691583339814
513,1691583342191
90,1691583344566
323,1691583347566
366,1691583340575
572,1691583345527
537,1691583345591
49,1691583345455
492,1691583344862
307,1691583347566
342,1691583346614
417,1691583339911
452,1691583340079
382,1691583339687
163,1691583341830
126,1691583341398
74,1691583346086
31,1691583348623
89,1691583345422
262,1691583343711
227,1691583339982
380,1691583347271
415,1691583347638
450,1691583339982
338,1691583347143
260,1691583346447
225,1691583340511
76,1691583344470
33,1691583345950
161,1691583345294
124,1691583342063
119,1691583345294
570,1691583345031
535,1691583341726
218,1691583343774
428,1691583346351
305,1691583343646
340,1691583344103
490,1691583342255
92,1691583346151
279,1691583347342
554,1691583342391
185,1691583340439
511,1691583348359
178,1691583343806
284,1691583343607
399,1691583340743
321,1691583343046
364,1691583344335
449,1691583340511
359,1691583343015
431,1691583346511
474,1691583345127
489,1691583348295
4,1691583341167
594,1691583345031
145,1691583339190
100,1691583342590
52,1691583344566
17,1691583342814
201,1691583344399
569,1691583345527
325,1691583343742
360,1691583346648
408,1691583346743
139,1691583347830
280,1691583342951
96,1691583348527
238,1691583347703
550,1691583339087
181,1691583347638
515,1691583339087
240,1691583343511
205,1691583347039
528,1691583344862
0,1691583342159
590,1691583348199
141,1691583342718
104,1691583339318
56,1691583348590
13,1691583348726
318,1691583340375
435,1691583340575
470,1691583341534
299,1691583346879
72,1691583348726
37,1691583345190
165,1691583341366
120,1691583341398
549,1691583338927
264,1691583347800
221,1691583343118
411,1691583347439
454,1691583340511
379,1691583347342
384,1691583339847
494,1691583345719
469,1691583341759
301,1691583344335
344,1691583342983
574,1691583345982
531,1691583341599
259,1691583344399
158,1691583344630
589,1691583342287
303,1691583346213
346,1691583347271
496,1691583346151
576,1691583348199
533,1691583342159
266,1691583342983
223,1691583347566
167,1691583342095
122,1691583342063
70,1691583342358
35,1691583344798
386,1691583340079
413,1691583343311
456,1691583343383
54,1691583346086
11,1691583345950
2,1691583341663
592,1691583345527
143,1691583339286
106,1691583342519
242,1691583346383
207,1691583341101
437,1691583340671
472,1691583346151
327,1691583344175
362,1691583344103
552,1691583348199
183,1691583343118
517,1691583338927
94,1691583345127
282,1691583347766
69,1691583342784
